postal_code,municipality_code,NUTS3
6235,70522,AT335
3042,32139,AT126
4801,40701,AT315
4671,41813,AT312
8524,60344,AT225
4081,40506,AT312
8302,60666,AT221
7111,10717,AT112
3508,31333,AT124
8900,61243,AT222
3361,30504,AT121
8444,61030,AT225
3921,32516,AT124
9853,20638,AT212
5754,50618,AT322
2493,32318,AT122
7122,10707,AT112
2243,30838,AT126
9321,20512,AT213
6673,70811,AT331
8967,61217,AT222
6091,70312,AT332
6600,70806,AT331
4612,40511,AT312
6404,70342,AT332
8292,62274,AT224
8046,60101,AT221
6336,70515,AT335
7435,10924,AT113
6068,70329,AT332
2551,30608,AT122
6842,80410,AT342
4982,41216,AT311
2093,31107,AT124
3561,31322,AT124
6973,80217,AT342
3388,31922,AT123
2870,31802,AT122
3342,30524,AT121
8212,61764,AT224
2014,31022,AT125
4653,41805,AT312
4870,41747,AT315
3171,31406,AT122
8521,60341,AT225
6166,70310,AT332
2224,30857,AT125
6265,70915,AT335
6731,80124,AT341
5330,50312,AT323
7461,10923,AT113
6934,80238,AT342
4722,40835,AT311
2452,30716,AT127
3743,31120,AT124
5602,50423,AT322
2213,31605,AT126
6812,80413,AT342
2751,32337,AT122
6284,70922,AT335
6067,70301,AT332
3180,31407,AT122
8181,61729,AT224
3473,31021,AT125
8280,62280,AT224
3345,32002,AT121
8661,62145,AT223
4690,41720,AT315
4894,41719,AT315
6600,70805,AT331
6651,70813,AT331
7501,10915,AT113
3851,32210,AT124
2700,32313,AT122
2133,31609,AT125
2392,31726,AT127
6142,70328,AT332
2405,30702,AT127
2441,30731,AT127
9781,20625,AT212
9135,20804,AT213
2472,30719,AT127
6413,70368,AT332
8262,62271,AT224
6173,70337,AT332
9631,20305,AT212
8200,61701,AT224
3353,30532,AT121
4710,40821,AT311
4090,41407,AT311
8864,61445,AT226
4132,41318,AT313
8635,62142,AT223
3972,30910,AT124
5162,50327,AT323
6633,70803,AT331
4591,40909,AT314
2275,31604,AT125
6165,70356,AT332
8151,60665,AT221
7361,10810,AT111
6858,80235,AT342
7083,10312,AT112
6767,80239,AT331
8200,61727,AT224
9861,20642,AT212
9862,20642,AT212
2521,30641,AT127
2304,30844,AT126
3365,30501,AT121
9919,70735,AT333
3434,32134,AT126
3424,32140,AT126
7152,10716,AT112
9551,21009,AT212
4882,41721,AT315
4972,41233,AT311
4184,41345,AT313
9710,20720,AT211
4580,40923,AT314
4715,40829,AT311
8950,61267,AT222
9853,20608,AT212
8952,61257,AT222
6071,70302,AT332
6083,70307,AT332
7202,10615,AT112
2823,31823,AT122
4070,40507,AT312
3202,31909,AT123
6458,70220,AT334
7374,10827,AT111
9562,21005,AT212
4560,40905,AT314
4611,41804,AT312
5300,50316,AT323
5324,50318,AT323
4121,41304,AT313
4933,40402,AT311
5651,50608,AT322
7341,10812,AT111
8774,61109,AT223
4661,40715,AT315
9462,20923,AT213
3620,31344,AT124
4464,41522,AT314
2572,31405,AT122
2381,31714,AT127
7453,10821,AT111
3470,32114,AT126
8663,62145,AT223
8972,61236,AT222
4984,41235,AT311
8142,60656,AT221
4676,40801,AT311
6555,70609,AT334
4292,40607,AT313
5323,50307,AT323
8413,61055,AT225
4820,40703,AT315
2620,31817,AT122
4183,41615,AT313
3224,31408,AT122
3041,31902,AT123
4880,41706,AT315
5090,50610,AT322
6500,70604,AT334
6392,70415,AT335
4774,41419,AT311
8120,60632,AT221
8144,60618,AT221
5225,40416,AT311
3720,31036,AT125
4493,41521,AT314
9640,20307,AT212
6408,70339,AT332
2770,32308,AT122
3223,31401,AT122
3331,30517,AT121
2443,10321,AT112
5620,50421,AT322
2544,30620,AT127
9872,20620,AT212
4091,41427,AT311
8960,61262,AT222
2813,32317,AT122
4523,41516,AT314
6311,70530,AT335
5084,50315,AT323
5204,50335,AT323
2115,31203,AT126
3121,31916,AT123
3200,31929,AT123
3184,31414,AT122
4055,41019,AT312
4262,40610,AT313
4595,41518,AT314
4912,41218,AT311
2604,32330,AT122
3034,31921,AT123
2222,30805,AT126
2123,31622,AT126
4572,40916,AT314
3350,30514,AT121
8160,61731,AT224
3261,32018,AT121
2481,31701,AT127
9300,20523,AT213
4151,41325,AT313
8653,62132,AT223
5575,50502,AT321
7552,10415,AT113
3292,32001,AT121
3532,31336,AT124
4463,41507,AT314
9962,70726,AT333
6122,70309,AT332
8813,61443,AT226
6972,80213,AT342
2801,32313,AT122
6642,70830,AT331
4941,41214,AT311
6631,70821,AT331
5532,50407,AT322
8454,61024,AT225
5121,40439,AT311
8723,62014,AT226
9906,70714,AT333
2405,30715,AT127
4240,40623,AT313
7502,10925,AT113
6691,70818,AT331
4192,41622,AT313
3151,30201,AT123
8521,61033,AT225
4580,40901,AT314
5164,50332,AT323
9412,20923,AT213
8283,62202,AT224
3506,30101,AT124
8770,61113,AT223
7522,10407,AT113
8832,61440,AT226
2632,31846,AT122
4064,41016,AT312
8971,61265,AT222
3443,32131,AT126
9601,20702,AT211
6912,80218,AT342
2413,10727,AT112
3552,31323,AT124
5612,50413,AT322
8344,62375,AT224
8273,62209,AT224
8211,61762,AT224
6960,80208,AT342
5211,40418,AT311
2564,30645,AT122
4300,30509,AT121
5274,40405,AT311
4707,40827,AT311
5270,40422,AT311
2244,30854,AT126
2821,32316,AT122
7121,10722,AT112
4070,40504,AT312
9622,20320,AT212
6713,80115,AT341
2453,30724,AT127
6403,70308,AT332
5093,50627,AT322
2185,31654,AT125
2491,10309,AT112
9843,20605,AT212
3394,31542,AT121
6283,70927,AT335
6424,70219,AT334
4564,40906,AT314
9545,20630,AT212
4040,41609,AT312
8992,61204,AT222
5242,40436,AT311
4982,41219,AT311
6105,70326,AT332
8230,62214,AT224
3061,31926,AT123
3313,30538,AT121
6230,70506,AT335
7212,10602,AT112
7143,10702,AT112
2094,31104,AT124
2095,31104,AT124
8171,61745,AT224
8773,61106,AT223
6820,80116,AT342
8295,62244,AT224
3494,31310,AT124
5324,50311,AT323
2620,31839,AT122
9141,20803,AT213
9122,20813,AT213
4871,41711,AT315
9702,20710,AT211
8380,10504,AT113
9371,20817,AT213
8443,61051,AT225
7534,10411,AT113
7521,10403,AT113
6552,70628,AT334
8130,60663,AT221
8966,61254,AT222
3033,31901,AT123
2281,30849,AT126
4462,41512,AT314
8641,62146,AT223
6741,80118,AT341
6474,70205,AT334
2295,30865,AT126
7035,10316,AT112
4674,40806,AT311
7142,10709,AT112
7412,10928,AT113
3465,32115,AT126
8510,60350,AT225
2123,31651,AT126
6835,80424,AT342
2500,30613,AT127
8233,62226,AT224
6305,70407,AT335
4594,40902,AT314
7471,10919,AT113
4631,41810,AT312
8665,62116,AT223
4866,41745,AT315
4230,40614,AT313
8644,62141,AT223
6992,80228,AT341
7063,10310,AT112
6145,70333,AT332
8965,61260,AT222
2434,30709,AT127
7093,10710,AT112
2322,30741,AT127
7202,10611,AT112
9082,20419,AT211
8982,61255,AT222
3830,32220,AT124
4623,41808,AT312
4143,41329,AT313
2662,31836,AT122
8160,61729,AT224
8652,62141,AT223
4271,40618,AT313
5302,50317,AT323
3593,32520,AT124
6175,70320,AT332
4924,41234,AT311
2105,31216,AT126
6526,70612,AT334
6781,80101,AT341
7304,10804,AT111
4164,41341,AT313
8164,61761,AT224
5441,50201,AT323
2422,10715,AT112
4533,41018,AT312
4951,40433,AT311
9582,20711,AT211
7081,10314,AT112
9613,20707,AT211
8625,62135,AT223
4352,41107,AT313
9712,20712,AT211
7042,10616,AT112
9633,20306,AT212
3550,31322,AT124
4092,41409,AT311
2251,30812,AT126
2294,30835,AT126
2525,30612,AT127
3161,31412,AT122
7503,10930,AT113
3213,31906,AT123
7511,10914,AT113
9125,20803,AT213
6240,70521,AT335
5652,50603,AT322
9620,20305,AT212
9761,20609,AT212
8502,60318,AT225
4881,41741,AT315
8211,61701,AT224
6351,70524,AT335
3362,30522,AT121
8565,61633,AT225
3304,30527,AT121
6103,70344,AT332
2262,30803,AT126
7571,10508,AT113
6073,70353,AT332
4785,41410,AT311
2054,31001,AT125
7061,10317,AT112
5721,50616,AT322
6911,80212,AT342
8616,61711,AT224
9584,20711,AT211
6751,80111,AT341
3291,32001,AT121
8451,61016,AT225
4332,41114,AT313
2202,31202,AT126
3822,32209,AT124
3481,32106,AT126
4150,41344,AT313
3452,32139,AT126
6150,70355,AT332
9571,21001,AT212
8271,62264,AT224
8413,61027,AT225
9587,20702,AT211
2332,31711,AT127
2471,30721,AT127
4775,41426,AT311
4573,40903,AT314
4160,41343,AT313
3425,32135,AT126
6883,80203,AT341
2631,31839,AT122
7343,10814,AT111
7203,10615,AT112
9162,20403,AT211
8462,61050,AT225
4343,41112,AT313
2525,30631,AT127
9473,20909,AT213
9063,20418,AT211
9372,20504,AT213
9373,20513,AT213
4291,40609,AT313
5091,50623,AT322
4082,40502,AT312
4621,41819,AT312
4596,40920,AT314
2630,31811,AT122
8684,62131,AT223
8523,60305,AT225
7053,10304,AT112
4752,41416,AT311
4891,41726,AT315
4943,41207,AT311
2352,31709,AT127
8632,62142,AT223
4816,40708,AT315
8055,60669,AT221
4223,41106,AT313
3744,31121,AT124
2282,30836,AT126
2253,30860,AT126
3073,31941,AT123
8741,62048,AT226
2272,30850,AT125
6861,80201,AT342
3363,30502,AT121
6020,70332,AT332
8724,62047,AT226
9587,20711,AT211
7410,10910,AT113
6787,80120,AT341
3493,31315,AT124
7501,10921,AT113
6292,70908,AT335
2000,31208,AT126
7132,10705,AT112
4451,41514,AT314
5451,50424,AT322
8442,61019,AT225
4982,41210,AT311
8962,61261,AT222
2440,30737,AT127
2803,32326,AT122
6886,80233,AT341
3323,30521,AT121
6179,70343,AT332
3003,31949,AT126
3871,30903,AT124
2431,30706,AT127
9334,20509,AT213
